,Country,Import.items,Trade.flow,Taxon,Mean.Trophic.Level,Total.production,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13,Algeria,Seabass,Imports,Fish,3.577543698,801.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,52,97,52,27,26,6,15,0,3,6,39,92,196,50,22,108.16
14,Algeria,Catfish,Imports,Fish,3.596586846,13705.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,930,1517.75,1755,2102.75,2607.75,1500,2693.95
15,Algeria,Alaska pollock,Imports,Fish,3.6,2160.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,126.25,205,329.25,330,248.75,745,33.325
16,Algeria,Seabream,Imports,Fish,3.639030054,1060.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,117,282,372,43,37,184.44
17,Algeria,Marine fish,Imports,Fish,3.817951401,29092.29,2.66,10.64,5.32,7.98,827.26,1127.84,13.3,2593.5,0,0,0,0,0,0,0,0,0,0,2.66,31.92,0,0,0,0,0,0,87.78,42.56,244.72,289.94,98.42,151.62,295.26,593.18,736.82,2721.18,2973.88,742.14,4237.38,9855.3,1197,13.3,45.22,143.51
18,Algeria,Southern bluefin tuna,Imports,Fish,3.9,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,289,0,0
19,Algeria,Flatfish,Imports,Fish,3.901795953,2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,8,40,31,287,145,37,139,86,37,112,22,48,30,61,115,141,104,67,73.25,200.5,171.5,118.75,10,96
20,Algeria,Blue whitings,Imports,Fish,4.012942106,6982.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,408,772,1009,1209,1380,857,1271.09
21,Algeria,Rays and skates Rajidae,Imports,Fish,4.035479217,230.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,20,43,51,47,6,10.16
22,Algeria,Trout and char,Imports,Fish,4.073085713,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,8,12,150,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
23,Algeria,Cod and hake and haddock,Imports,Fish,4.136479753,5958.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249.25,1961.5,654,916,949.25,128.5,64,36.08
24,Algeria,Pacific salmons,Imports,Fish,4.148078438,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,15,25,0,14,32,60,1,9,0,10,9,4,0,0,1,0
25,Algeria,Argentine hake,Imports,Fish,4.2,988.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,553.31
26,Algeria,Hake,Imports,Fish,4.210022623,57200.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,116,363,962,1347,1727,1371,2347,3955,4446,2514,1897,1623,1073,2233,1816,2158,1254,1896,7477.5,3638.5,3616.25,4229.25,2729.25,2400.64
27,Algeria,Nile perch and snakeheads Channa spp.,Imports,Fish,4.216676745,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,7,147,1190,1157,0,0,0
28,Algeria,Salmonids,Imports,Fish,4.228556346,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,438,24,43,202,565,402,450,184,2,6,0,0,2,14,135,14,19,1749,1228,2103,56,217,29,5,0
29,Algeria,Salmon,Imports,Fish,4.270007459,820.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,120,125,197.5,176.25,167.5,18.75,13
30,Algeria,Albacore,Imports,Fish,4.3,64607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,1,0,0,40,51,562,1882,8045,5842,6972,6210,1818,1256,1620,2299,739,2568,2063,3481,5546,4374,5475,3039,0
31,Algeria,Dogfish and other sharks,Imports,Fish,4.301918524,4129.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,72,248,328,171,143,150,66,314,430,235,122,149,246,136,103,96,72,151,220,94,48,412.25,110
32,Algeria,Skipjack tuna,Imports,Fish,4.4,21949.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,208,155,150,46,150,142,176,127,36,0,75,0,0,0,15,0,0,0,24,14792.3,5848.986
33,Algeria,Yellowfin tuna,Imports,Fish,4.4,4361.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,263,30,0,113,419,20,0,86,0,0,0,0,0,2,0,18,2613,707.44
34,Algeria,Tuna,Imports,Fish,4.414193552,334604.4829,904.4,933.04,904.4,1133.16,0,0,0,0,869.68,3366.44,3302.66,4240,2798,3455,1952,0,58.52,231.42,1296.34,6896.1,2876.1,2408.6,4044.68,2242.66,3830.06,5089.06,5082.24,5278.46,5025.8,6604.2,9788.8,15954.68,10616.06,14348.06,20755.98,17029.3,15492.54,21502.78,20498.81,27219.55,23202.3,17959.92,12830.07,32582.6129
35,Algeria,Tuna and bonito and billfish,Imports,Fish,4.41545802,1327.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327.34,0,0
36,Algeria,Bonito Sarda spp.,Imports,Fish,4.490694235,1040.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040.06,0
37,Algeria,Atlantic salmon and Danube salmon,Imports,Fish,4.5,425.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,29,40,68,117,160.19
38,Algeria,Swordfish,Imports,Fish,4.5,471.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.25,28,31.75,0,0,11.75,16,88.75,6,46.5,56.5,0,0
39,Angola,Tilapia,Imports,Fish,2.044832904,129061.5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,72.25,195.5,439,363,452,0,0,0,0,0,47658.25,32713,16916.5,6131,11864.75,12234.3415
40,Angola,Carps,Imports,Fish,2.425423625,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2,0,0,0,0
41,Angola,Crustacean,Imports,Crustacean,2.5,13003.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.27,13,17.54,13.54,12.54,5,13,31.62,18,24.54,65.27,55.81,154.94,129.78,572.86,950.34,1024.48,1287.1,921.59,2994.17,1436.67,1307.34,984.98,741.07,195.85
42,Angola,Carps and eels and snakeheads,Imports,Fish,2.54046911,498.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,55,67.5,28.75,22.5,9.525
43,Angola,Tilapia and catfish and carp,Imports,Fish,2.543419164,1457.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.83,20,273.75,58.75,62.24,1.25
44,Angola,Pilchards Sardinops spp.,Imports,Fish,2.8,9726.0772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835.24,1992.34,957.6,90.44,55.86,0,0,0,1622.6,1037.4,0,340.48,0,774.06,1744.96,0,0,0,0,0,0,0,0,0,0,275.0972
45,Angola,South African pilchard,Imports,Fish,2.8,913.9494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.24,0,0,2.66,0,0,0,0,0,0,13.3,5.32,26.6,417.62,0,0,0,0,0,0,0,0,0,0,12.2094
46,Angola,Freshwater fish,Imports,Fish,2.802763992,554.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,525,0,0,0,0,0,0,0,0,0,0,1.02
47,Angola,Pilchards Sardinops spp. and Sardinellas,Imports,Fish,2.857185507,1169.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,5,1,6,14,7,5,2,2,233,312,447,123,0,0,0,0,0,0,0,0,0,0,2.31
48,Angola,Sardine and sardinella and sprat,Imports,Fish,2.937098662,703161.6936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.5,340.48,3934.14,275.98,9083.9,8288.56,9006.8,9636.52,6576.66,11825.7,12691.56,18061.22,13432.72,27237.78,20363.92,17779.1,42889.94,83100,81541.76,97622.9,72541,63985.82,43532.08,30508.64,18439.0136
49,Angola,Cephalopod,Imports,Cephalopod,3,3528.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,5,2,2,8,17,26,59,79,124,297,349,499,309,287,635,261,267,200,94,0.65
50,Angola,European pilchard,Imports,Fish,3.1,115698.0018,0,0,0,0,0,0,0,0,13496.84,11914.14,7352.24,4410.28,14824.18,9344.58,7033.04,6665.96,6615.42,5830.72,1351.28,1464.36,3095.28,1646.86,1767.98,1047.38,1622.96,1720.4,422.68,407.76,150.66,246.12,589,668.46,2113.62,0,0,0,0,0,0,0,0,0,0,9895.8018
51,Angola,Anchovy,Imports,Fish,3.128266791,516.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,10.64,0,111.72,26.6,10.64,164.92,29.26,42.56,23.94,39.9,21.28,21.28,2.66,0,2.66,2.66,0
52,Angola,European plaice,Imports,Fish,3.2,103.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,4,9,9,16,20,9,11,7,7,2,3,0.32
53,Angola,Herring,Imports,Fish,3.300155675,760.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,2.66,2.66,2.66,0,0,23.94,106.4,119.7,0,0,0,478.8,0,0,21.28,0
54,Angola,Jack and horse mackerel,Imports,Fish,3.399612863,310072.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84.8,0,563.66,409.46,631.62,4624.2,11971.8,3392.6,1259.02,5113.62,2411.12,0,0,0,0,0,44916,81411,22749,58322,39776,32433.53
55,Angola,Fish,Imports,Fish,3.441211613,1423761.224,0,0,0,0,0,0,97292,96926,121137,131670.4,152115,122669,108315,81959.16,58473.48,167.58,2367.68,943.52,2165.22,1509.55,602.46,201.62,308,101.93,1054.86,1102.5,1901.36,1378.2,923.34,2823.87,3294.85,5868.91,14212.97,23048.91,33955.77,31285.56,39226.52,80602.98,105064.94,20148.35,19617.74,26815.11,20698.22,11811.6638
56,Angola,Mackerel,Imports,Fish,3.499079624,237548.0446,0,0,0,0,0,0,0,0,0,0,0,1000.16,1963.08,1736.98,1729,1228.92,1330,1436.4,1463,565.94,10.64,6.32,66.18,31.92,22.28,317.6,18,92.44,38.58,554.64,6617.1,8978.2,7994.02,15675,23063.42,36106.24,70242.04,39390.2,8369.8,1551.48,1473.56,1213.56,2252.36,1008.9846
57,Angola,Sockeye salmon,Imports,Fish,3.5,357.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,2,8,178,14,16,48,26,16,20,14,0.07
58,Angola,Seabass,Imports,Fish,3.577543698,628.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,4,10,26,26,38,29,25,33,43,17.73
59,Angola,Catfish,Imports,Fish,3.596586846,4741.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.25,1657,440.5,391.75,756.5,302.0175
60,Angola,Alaska pollock,Imports,Fish,3.6,651.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,17.5,16.25,0,0,0,0,0,35.75,15,35.75,16.75,10,487.28
61,Angola,Atlantic mackerel,Imports,Fish,3.6,1590.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675.64,0,0,0,0,0,0,0,0,0,0,915.04,0,0,0,0,0,0,0,0,0,0,0
62,Angola,Seabream,Imports,Fish,3.639030054,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,183,363,219,122,100,90,0,23,0,0,0,0,0,0,0,0,0,0,0
63,Angola,Croaker,Imports,Fish,3.735471411,4150.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,203,416,267,331,109,148,56,834,0,0,0,0,0,0,0,0,0,0,1455.04
64,Angola,Demersal fish,Imports,Fish,3.74312709,266.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.44
65,Angola,Tusk,Imports,Fish,3.899970292,356.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.88,0,0,0,0,33.84,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,220.806
66,Angola,Cape hake,Imports,Fish,3.901380043,446.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,121,2,71,0,3,23,36,139,0,0,0,0,0,0,0,0,0,0,13.84
67,Angola,Flatfish,Imports,Fish,3.901795953,1180.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,4,7,19,0,0,16,42,2,28,1,32,56,133,209,25,213,383,1.37
68,Angola,Atlantic cod,Imports,Fish,4.1,605.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,1,0,14,1,1,5,20,30,91,97,202,0,0,0,0,0,0,0,0,0,0,130.49
69,Angola,Cod,Imports,Fish,4.107251404,221060.7586,0,0,0,0,0,0,0,0,0,152.28,298.92,772.68,846,1322.58,1192.86,1308.48,1009.56,736.02,0,1136.46,1923.24,2144.42,1388.98,948.35,1409.8,1238.5,1359.86,1701.05,2331.22,1934.28,2475.21,3436.74,3744.1,4225.86,8444.32,28895.4,47503.82,20725.5,29525.74,22741.01,10759.44,6874.73,5094.6,1458.7486
70,Angola,Cod and hake and haddock,Imports,Fish,4.136479753,16614.49,0,0,0,0,0,0,0,0,0,583.74,1221.06,1714.56,1001.1,2695.92,2047.32,3336.06,518.88,1232.34,174.84,0,11.28,0,0,0,0,0,0,0,0,0,0,0,129.72,0,0,0,0,0,733.5,137.5,51.25,71.25,951.23,2.94
71,Angola,Pacific salmons,Imports,Fish,4.148078438,841.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,41,1,0,0,2,1,50,58,107,85,102,191,90,63,24,14,1.13
72,Angola,Argentine hake,Imports,Fish,4.2,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,15,0,0,0,0,0,0,0,0,0,0,86.91
73,Angola,Hake,Imports,Fish,4.210022623,12022.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.25,1,6,0,4.5,4,5,23.5,21.5,11.5,37.25,66.25,82.5,162,240,495,522,568,1129.25,487,426.25,272.5,4033.75,3417.37
74,Angola,Nile perch and snakeheads Channa spp.,Imports,Fish,4.216676745,398.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,49,3,100,56,33,47,64,29.73
75,Angola,Salmonids,Imports,Fish,4.228556346,1130.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,19,4,28,19,6,140,2,27,41,226,131,90,86,219,84.36
76,Angola,Salmon,Imports,Fish,4.270007459,2202.4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.5,2.5,15.16,7.5,5,10.16,12.66,12.82,180.4,15.16,73.36,400.22,145.66,85.16,67.82,125.64,121.12,110.96,220.67,142.05,145.35,171.89,109.87,8.7989
77,Angola,Saithe,Imports,Fish,4.3,33041.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.56,76.14,78.96,2.82,315.84,93.06,609.12,1274.64,2112.18,1993.74,4077.72,6517.02,8446.02,22,0,19,0,9,0,0,0,4,4,7082.02
78,Angola,Ling,Imports,Fish,4.4,442.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.96,16.92,0,0,0,0,0,0,0,0,135.36,0,211.5,0,0,0,0,0,0,0,0,0,0,0
79,Angola,Skipjack tuna,Imports,Fish,4.4,18992.4608,0,0,0,0,0,0,0,0,0,5947.76,3394.16,5487.58,0,0,0,654.36,665,0,0,0,0,0,0,0,0,0,486.78,0,287.28,0,0,0,0,0,26,112,9,0,5,0,0,0,0,1917.5408
80,Angola,Tuna,Imports,Fish,4.414193552,260273.8764,0,0,0,0,0,0,0,0,1484.28,4351.76,1492.26,2415.28,2375.38,4615.1,1707.72,970.9,853.86,694.26,1279.46,768.74,1114.54,1024.1,2417.94,2098.74,4016.6,3325,1452.36,3708.04,2774.38,5567.38,11457.62,3928.82,4781.42,21699.02,14053.86,29971.8,35661,21088.5,20069,9051,11310,9787.38,9319,7587.3764
81,Angola,Atlantic salmon and Danube salmon,Imports,Fish,4.5,656.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,3,9,7,15,31,53,66,190,104,63,109.69
82,Australia,Tilapia,Imports,Fish,2.044832904,9727.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949.5,1152.75,1230.5,1207.75,1171.25,1256.75,1356,1403.0625
83,Australia,Carps,Imports,Fish,2.425423625,433.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,19,41,129,77,45,34,14.12
84,Australia,Crustacean,Imports,Crustacean,2.5,1641741.665,14801.3536,17484.7045,14652.7526,14615.5651,12487.7989,16501.3636,18399.7434,18008.0744,19019.2889,22541.1037,22207.3574,25047.6106,23297.1756,23418.3926,20638.657,23065.7854,22749.5167,23100.3057,23708.843,16515.7868,23131.3027,27037.5242,28711.0572,30474.1955,25122.5167,27439.8506,27234.9523,33936.152,38488.2745,43247.0468,48723.0042,48131.5562,50612.8691,55836.7672,60751.6833,60228.4008,86408.5254,82003.5682,84430.5524,72715.9222,76004.461,76641.9532,74913.2554,67255.09424
85,Australia,Carps and eels and snakeheads,Imports,Fish,2.54046911,9746.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092.5,1445,2205,1501.25,1098.75,666.25,700,1037.675
86,Australia,Tilapia and catfish and carp,Imports,Fish,2.543419164,2646.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,220,180,127.5,415,426.25,417.5,734.9875
87,Australia,Pilchards Sardinops spp.,Imports,Fish,2.8,94685.36,8166.2,6205.78,8629.04,6806.94,7370.86,9198.28,7924.14,6471.78,6849.5,8275.26,6783,8022.56,3982.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Australia,Sardine and sardinella and sprat,Imports,Fish,2.937098662,370119.0818,0,0,0,0,0,0,0,0,0,0,0,0,4817.08,9380.7,10104.86,10014.34,8827.88,10200.72,10625.4,9623.84,8536.82,8586.48,8581.16,9828.7,13695.14,13531.16,13855.52,13390.08,16011.48,12656.5,13362.8,12385.92,12146.82,11224.84,12151.64,12205.58,12645.9,12735.66,12721.5,11313.16,12320.2,13257.04,14163.74,15216.4218
89,Australia,Cephalopod,Imports,Cephalopod,3,502640.9202,0,0,0,0,1083,1662,1450,1883,2553,2114,2797,2861,3384,3637,4340,3876,4987,5159,7149,7527,8356,7968,8914,9054,10890,10550,11661,12123,13280,14397,15241,15379,16727,16584,15979,14907,25239.36,30036.02,30371.02,30787.4,33782.42,30933.78,30549.52,32469.4002
90,Australia,Clupeoids,Imports,Fish,3.015317924,899.08,0,0,0,0,0,0,0,0,0,0,0,0,58.52,87.78,95.76,29.26,327.18,109.06,93.1,0,98.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Australia,Anchovy,Imports,Fish,3.128266791,78050.7198,478.8,795.34,587.86,619.78,779.38,726.18,986.86,468.16,574.56,1013.46,795.34,1037.4,871.48,1525.5,1458.74,1557.48,1368.6,1273,1676.1,1795.96,2057.06,1987.02,2638.72,1694.42,2274.82,1927.52,2157.5,2251.02,2249.78,2724.22,2975,2617.18,2263.08,2355.92,2499.82,2673.84,2763.5,2605.12,2517.44,2733.22,2556.76,2480.52,2306.34,2350.9198
92,Australia,Herring and anchovy and sardine,Imports,Fish,3.130732654,646.7106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7,197.4,350.6106
93,Australia,Anchovies and Indian mackerels and seerfishes,Imports,Fish,3.140476663,987.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,370,321.74
94,Australia,Common sole,Imports,Fish,3.2,5641.4,0,0,0,0,0,0,0,0,0,0,0,0,229,228,434,298,309,298,199,248,256,0,0,0,278,215,161,247,299,103,25,51,75,83,47,35,246,241,170,175,203,152,160,176.4
95,Australia,Eels,Imports,Fish,3.230736926,6029.7242,0,0,0,0,0,0,0,0,0,0,0,0,12,13,24,21,83,69,60,84,51,0,0,0,48,63,54,105,97,75,159,101,46,69,104,66,231.1,366.48,513.44,434.26,680.96,721.22,813.96,864.3042
